match_id,source_file,round_number,map,local_team_side,first_kill_team,winner,score_won,score_lost,hs_stats,att_money,def_money,att_kills,def_kills,att_alive,def_alive,att_ults_ready,def_ults_ready,att_hs_kills,def_hs_kills
54dfe3f3-0ad2-4993-a7b5-8a782b3c2feb,first_match.json,1,,attack,enemies,enemies,0,1,"{'allies': 0, 'enemies': 0}",4300,4000,2,5,0,3,0,0,0,0
54dfe3f3-0ad2-4993-a7b5-8a782b3c2feb,first_match.json,2,,attack,enemies,enemies,0,2,"{'allies': 0, 'enemies': 0}",15350,17350,3,9,1,4,0,1,1,4
54dfe3f3-0ad2-4993-a7b5-8a782b3c2feb,first_match.json,3,,attack,enemies,enemies,0,3,"{'allies': 0, 'enemies': 0}",26000,22600,5,14,0,2,1,1,1,5
54dfe3f3-0ad2-4993-a7b5-8a782b3c2feb,first_match.json,4,,attack,enemies,enemies,0,4,"{'allies': 0, 'enemies': 0}",27400,35400,6,20,0,4,2,1,3,6
54dfe3f3-0ad2-4993-a7b5-8a782b3c2feb,first_match.json,5,,defense,allies,enemies,0,5,"{'allies': 0, 'enemies': 0}",5500,31100,11,24,1,0,0,0,3,7
d27396bb-6491-48dc-a6f7-d7c58c601079,match2.json,1,,defense,enemies,allies,1,0,"{'allies': 0, 'enemies': 0}",202398,4000,4,3,2,1,0,0,0,0
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,2,,defense,allies,allies,2,0,"{'allies': 0, 'enemies': 0}",17100,12750,9,5,3,1,0,0,19,169
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,3,,defense,allies,allies,3,0,"{'allies': 0, 'enemies': 0}",23250,15250,13,7,2,1,0,0,24,169
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,4,,defense,allies,enemies,3,1,"{'allies': 0, 'enemies': 0}",29750,15050,17,10,1,2,1,1,28,172
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,5,,defense,allies,enemies,3,2,"{'allies': 0, 'enemies': 0}",28000,17700,20,14,2,1,1,4,29,176
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,6,,defense,allies,enemies,3,3,"{'allies': 0, 'enemies': 0}",19300,19650,19,18,1,2,1,4,30,177
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,7,,defense,allies,allies,4,3,"{'allies': 0, 'enemies': 0}",18350,21600,23,21,2,1,1,2,32,179
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,8,,defense,enemies,allies,5,3,"{'allies': 0, 'enemies': 0}",17950,19650,30,23,2,0,1,1,33,181
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,9,,defense,enemies,allies,6,3,"{'allies': 0, 'enemies': 0}",21300,17400,34,24,3,1,1,1,35,183
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,10,,defense,enemies,enemies,6,4,"{'allies': 0, 'enemies': 0}",23700,15100,37,26,1,2,1,1,35,184
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,11,,defense,allies,enemies,6,5,"{'allies': 0, 'enemies': 0}",25650,15500,39,29,1,2,2,1,36,185
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,12,,defense,enemies,allies,7,5,"{'allies': 0, 'enemies': 0}",20550,20900,43,31,3,1,1,2,37,185
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,13,,attack,allies,allies,8,5,"{'allies': 0, 'enemies': 0}",3500,8050,49,32,3,0,0,0,38,186
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,14,,attack,allies,allies,9,5,"{'allies': 0, 'enemies': 0}",18550,8850,53,32,4,1,0,0,39,186
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,15,,attack,enemies,enemies,9,6,"{'allies': 0, 'enemies': 0}",22500,10850,56,34,1,3,1,0,40,186
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,16,,attack,enemies,allies,10,6,"{'allies': 0, 'enemies': 0}",28900,13850,60,38,1,0,2,1,41,188
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,17,,attack,allies,enemies,10,7,"{'allies': 0, 'enemies': 0}",30500,15550,65,41,0,1,1,1,41,191
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,18,,attack,allies,allies,11,7,"{'allies': 0, 'enemies': 0}",27850,15300,70,43,1,0,0,2,42,192
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,19,,attack,enemies,allies,12,7,"{'allies': 0, 'enemies': 0}",25550,11800,74,47,1,1,1,2,42,193
f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,match2.json,20,,attack,allies,allies,13,7,"{'allies': 0, 'enemies': 0}",20800,12450,79,50,2,1,2,1,43,195
70a3da90-f3a6-47f3-8b22-e93f44845b16,match2.json,21,,attack,allies,enemies,0,1,"{'allies': 0, 'enemies': 0}",4300,4000,3,4,1,2,0,0,0,0
